title,genres,director_cast,average_rating,description,cover_url
一一,剧情|爱情|家庭,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,9.1,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2924629258.jpg
喜剧之王,喜剧|剧情|爱情,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2917778954.jpg
摩登时代,剧情|喜剧|爱情,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,9.3,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
杀人回忆,剧情|动作|犯罪|悬疑|惊悚,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.9,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg
致命ID,剧情|悬疑|惊悚,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...,8.9,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
春光乍泄,剧情|爱情|同性,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,9.0,暂无简介,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
加勒比海盗,动作|冒险|奇幻,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,8.8,暂无简介,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
海豚湾,纪录片,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...,9.3,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
美国往事,犯罪|剧情,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,9.1,暂无简介,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
红辣椒,动画|悬疑|科幻|惊悚,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,9.0,暂无简介,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg
